ontology_side,entity_type,entity_iri,label
target,class,https://example.org/ontology/sora#EvidenceArtifact,EvidenceArtifact
target,class,https://example.org/ontology/sora#ExternalService,ExternalService
target,class,https://example.org/ontology/sora#ExternalSystem,ExternalSystem
target,class,https://example.org/ontology/sora#Failure,Failure
target,class,https://example.org/ontology/sora#FailureCondition,FailureCondition
target,class,https://example.org/ontology/sora#FailureFrequencyCategory,FailureFrequencyCategory
target,class,https://example.org/ontology/sora#FailureSeverityCategory,FailureSeverityCategory
target,class,https://example.org/ontology/sora#FatigueRiskManagementSystem,FatigueRiskManagementSystem
target,class,https://example.org/ontology/sora#Firmware,Firmware
target,class,https://example.org/ontology/sora#FlightEnvelope,FlightEnvelope
target,class,https://example.org/ontology/sora#FlightLog,FlightLog
target,class,https://example.org/ontology/sora#FlightManual,FlightManual
target,class,https://example.org/ontology/sora#FunctionalHazardAssessment,FunctionalHazardAssessment
target,class,https://example.org/ontology/sora#GNSSSensor,GNSSSensor
target,class,https://example.org/ontology/sora#Hardware,Hardware
target,class,https://example.org/ontology/sora#Hazard,Hazard
target,class,https://example.org/ontology/sora#HumanMachineInterface,HumanMachineInterface
target,class,https://example.org/ontology/sora#ITSystem,ITSystem
target,class,https://example.org/ontology/sora#Interface,Interface
target,class,https://example.org/ontology/sora#Log,Log
target,class,https://example.org/ontology/sora#LogFile,LogFile
target,class,https://example.org/ontology/sora#MaintenanceComputer,MaintenanceComputer
target,class,https://example.org/ontology/sora#MaintenanceLog,MaintenanceLog
target,class,https://example.org/ontology/sora#MaintenanceProcedure,MaintenanceProcedure
target,class,https://example.org/ontology/sora#MaintenanceProcedureManual,MaintenanceProcedureManual
target,class,https://example.org/ontology/sora#MaintenanceProgramme,MaintenanceProgramme
target,class,https://example.org/ontology/sora#MaintenanceRecord,MaintenanceRecord
target,class,https://example.org/ontology/sora#ManagementSystem,ManagementSystem
target,class,https://example.org/ontology/sora#Manual,Manual
target,class,https://example.org/ontology/sora#Material,Material
target,class,https://example.org/ontology/sora#MeansOfCompliance,MeansOfCompliance
target,class,https://example.org/ontology/sora#Network,Network
target,class,https://example.org/ontology/sora#NonObligationRequirementElement,NonObligationRequirementElement
target,class,https://example.org/ontology/sora#NotApplicablePlaceholder,NotApplicablePlaceholder
target,class,https://example.org/ontology/sora#OSORobustnessAssignment,OSORobustnessAssignment
target,class,https://example.org/ontology/sora#OfficialCommitment,OfficialCommitment
target,class,https://example.org/ontology/sora#OperationalAuthorisation,OperationalAuthorisation
target,class,https://example.org/ontology/sora#OperationalCondition,OperationalCondition
target,class,https://example.org/ontology/sora#OperationalContextElement,OperationalContextElement
target,class,https://example.org/ontology/sora#OperationalProcedure,OperationalProcedure
target,class,https://example.org/ontology/sora#OperationalSafetyObjective,OperationalSafetyObjective
target,class,https://example.org/ontology/sora#OperationalStateType,OperationalStateType
target,class,https://example.org/ontology/sora#OperationalVolume,OperationalVolume
target,class,https://example.org/ontology/sora#OrganisationalArrangement,OrganisationalArrangement
target,class,https://example.org/ontology/sora#OrganisationalCulture,OrganisationalCulture
target,class,https://example.org/ontology/sora#Person,Person
target,class,https://example.org/ontology/sora#Policy,Policy
target,class,https://example.org/ontology/sora#Procedure,Procedure
target,class,https://example.org/ontology/sora#QualificationCompetenceRecord,QualificationCompetenceRecord
target,class,https://example.org/ontology/sora#RFSpectrum,RFSpectrum
target,class,https://example.org/ontology/sora#Record,Record
target,class,https://example.org/ontology/sora#RemotePilotStation,RemotePilotStation
target,class,https://example.org/ontology/sora#RemovableMedia,RemovableMedia
target,class,https://example.org/ontology/sora#RequirementClassification,RequirementClassification
target,class,https://example.org/ontology/sora#RiskAndThreatConcept,RiskAndThreatConcept
target,class,https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme
target,class,https://example.org/ontology/sora#RobustnessLevel,RobustnessLevel
target,class,https://example.org/ontology/sora#SAILLevel,SAILLevel
target,class,https://example.org/ontology/sora#SORAConcept,SORAConcept
target,class,https://example.org/ontology/sora#SORARequirement,SORARequirement
target,class,https://example.org/ontology/sora#SORARequirementElement,SORARequirementElement
target,class,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment
target,class,https://example.org/ontology/sora#SafetyCriticalData,SafetyCriticalData
target,class,https://example.org/ontology/sora#SafetyManagementSystem,SafetyManagementSystem
target,class,https://example.org/ontology/sora#SafetyObjective,SafetyObjective
target,class,https://example.org/ontology/sora#SafetyRisk,SafetyRisk
target,class,https://example.org/ontology/sora#SecurityAndSafetyConcept,SecurityAndSafetyConcept
target,class,https://example.org/ontology/sora#SecurityEventType,SecurityEventType
target,class,https://example.org/ontology/sora#SecurityFunction,SecurityFunction
target,class,https://example.org/ontology/sora#Sensor,Sensor
target,class,https://example.org/ontology/sora#ServiceLevelAgreement,ServiceLevelAgreement
target,class,https://example.org/ontology/sora#Software,Software
target,class,https://example.org/ontology/sora#SourceDocument,SourceDocument
target,class,https://example.org/ontology/sora#TechnicalAsset,TechnicalAsset
target,class,https://example.org/ontology/sora#ThreatType,ThreatType
target,class,https://example.org/ontology/sora#Tool,Tool
target,class,https://example.org/ontology/sora#TrainingProgramme,TrainingProgramme
target,class,https://example.org/ontology/sora#TrainingRecord,TrainingRecord
target,class,https://example.org/ontology/sora#TrainingSyllabus,TrainingSyllabus
target,class,https://example.org/ontology/sora#UAS,UAS
target,class,https://example.org/ontology/sora#UnmannedAircraft,UnmannedAircraft
source,object_property,https://example.org/mod-sbd#addressesRiskConcept,addresses risk concept
