ontology_side,ontology,entity_type,entity_iri,label,priority_keyword,proposed_counterpart,classification,assurance_relevance,review_notes
target,SORA,class,https://example.org/ontology/sora#AnalyticalAtomicObligation,AnalyticalAtomicObligation,obligation,,,,
target,SORA,class,https://example.org/ontology/sora#AnalyticalRequirementElement,AnalyticalRequirementElement,requirement,,,,
target,SORA,class,https://example.org/ontology/sora#AssessmentArtifact,AssessmentArtifact,assessment,,,,
target,SORA,class,https://example.org/ontology/sora#AssuranceArtifact,AssuranceArtifact,assurance,,,,
target,SORA,class,https://example.org/ontology/sora#AssuranceClaim,AssuranceClaim,assurance; claim,,,,
target,SORA,class,https://example.org/ontology/sora#AssuranceStatement,AssuranceStatement,assurance,,,,
target,SORA,class,https://example.org/ontology/sora#AuditProgramme,AuditProgramme,audit,,,,
target,SORA,class,https://example.org/ontology/sora#ControlStation,ControlStation,control,,,,
target,SORA,class,https://example.org/ontology/sora#CyberRisk,CyberRisk,risk,,,,
target,SORA,class,https://example.org/ontology/sora#CyberSafetyPolicy,CyberSafetyPolicy,policy,,,,
target,SORA,class,https://example.org/ontology/sora#CybersecurityAccreditation,CybersecurityAccreditation,security; accreditation,,,,
target,SORA,class,https://example.org/ontology/sora#EvidenceArtifact,EvidenceArtifact,evidence,,,,
target,SORA,class,https://example.org/ontology/sora#FatigueRiskManagementSystem,FatigueRiskManagementSystem,risk,,,,
target,SORA,class,https://example.org/ontology/sora#FunctionalHazardAssessment,FunctionalHazardAssessment,assessment,,,,
target,SORA,class,https://example.org/ontology/sora#MeansOfCompliance,MeansOfCompliance,compliance,,,,
target,SORA,class,https://example.org/ontology/sora#NonObligationRequirementElement,NonObligationRequirementElement,requirement; obligation,,,,
target,SORA,class,https://example.org/ontology/sora#Policy,Policy,policy,,,,
target,SORA,class,https://example.org/ontology/sora#RequirementClassification,RequirementClassification,requirement,,,,
target,SORA,class,https://example.org/ontology/sora#RiskAndThreatConcept,RiskAndThreatConcept,risk; threat,,,,
target,SORA,class,https://example.org/ontology/sora#RiskManagementProgramme,RiskManagementProgramme,risk,,,,
target,SORA,class,https://example.org/ontology/sora#SORARequirement,SORARequirement,requirement,,,,
target,SORA,class,https://example.org/ontology/sora#SORARequirementElement,SORARequirementElement,requirement,,,,
target,SORA,class,https://example.org/ontology/sora#SafetyAssessment,SafetyAssessment,assessment,,,,
target,SORA,class,https://example.org/ontology/sora#SafetyRisk,SafetyRisk,risk,,,,
target,SORA,class,https://example.org/ontology/sora#SecurityAndSafetyConcept,SecurityAndSafetyConcept,security,,,,
target,SORA,class,https://example.org/ontology/sora#SecurityEventType,SecurityEventType,security,,,,
target,SORA,class,https://example.org/ontology/sora#SecurityFunction,SecurityFunction,security,,,,
target,SORA,class,https://example.org/ontology/sora#SecurityMechanism,SecurityMechanism,security,,,,
target,SORA,class,https://example.org/ontology/sora#SecurityPrincipleOrPractice,SecurityPrincipleOrPractice,security; principle,,,,
target,SORA,class,https://example.org/ontology/sora#SecurityProperty,SecurityProperty,security,,,,
target,SORA,class,https://example.org/ontology/sora#TechnicalAsset,TechnicalAsset,asset,,,,
target,SORA,class,https://example.org/ontology/sora#ThreatType,ThreatType,threat,,,,
