ontology_side,ontology,entity_type,entity_iri,label
source,SbD,class,https://example.org/mod-sbd#MonitorRiskEffectiveness,Monitor Risk or Effectiveness
source,SbD,class,https://example.org/mod-sbd#MonitoringAndDetection,Monitoring and Detection
source,SbD,class,https://example.org/mod-sbd#MonitoringEvidence,Monitoring Evidence
source,SbD,class,https://example.org/mod-sbd#NormativeElement,Normative Element
source,SbD,class,https://example.org/mod-sbd#Obsolescence,Obsolescence
source,SbD,class,https://example.org/mod-sbd#ObtainSupplyChainAssurance,Obtain Supply Chain Assurance
source,SbD,class,https://example.org/mod-sbd#OnboardingOffboarding,Onboarding or Offboarding
source,SbD,class,https://example.org/mod-sbd#OperationalContext,Operational Context
source,SbD,class,https://example.org/mod-sbd#OperationalKnowledge,Operational Knowledge
source,SbD,class,https://example.org/mod-sbd#OperationalResilienceSecurityPractice,Operational Resilience Security Practice
source,SbD,class,https://example.org/mod-sbd#OperationalTechnology,Operational Technology (OT)
source,SbD,class,https://example.org/mod-sbd#OrganisationalConcept,Organisational Concept
source,SbD,class,https://example.org/mod-sbd#OrganisationalContext,Organisational Context
source,SbD,class,https://example.org/mod-sbd#OrganisationalEntity,Organisational Entity
source,SbD,class,https://example.org/mod-sbd#OrganisationalRiskAppetiteStatement,Organisational Risk Appetite Statement
source,SbD,class,https://example.org/mod-sbd#OrganisationalUnit,Organisational Unit
source,SbD,class,https://example.org/mod-sbd#PerformDueDiligence,Perform Due Diligence
source,SbD,class,https://example.org/mod-sbd#Personnel,Personnel
source,SbD,class,https://example.org/mod-sbd#PersonnelLifecycleContext,Personnel Lifecycle Context
source,SbD,class,https://example.org/mod-sbd#PlanIncidentResponse,Plan Incident Response
source,SbD,class,https://example.org/mod-sbd#PlanRiskResponse,Plan Risk Response
source,SbD,class,https://example.org/mod-sbd#PlanningArtefact,Planning Artefact
source,SbD,class,https://example.org/mod-sbd#PostIncidentOperationalNorm,Post-Incident Operational Norm
source,SbD,class,https://example.org/mod-sbd#PrimeSupplier,Prime Supplier
source,SbD,class,https://example.org/mod-sbd#PrioritiseRisk,Prioritise Risk
source,SbD,class,https://example.org/mod-sbd#ProcurementArtefact,Procurement Artefact
source,SbD,class,https://example.org/mod-sbd#ProgrammeBoard,Programme Board
source,SbD,class,https://example.org/mod-sbd#ProgrammeSponsorRole,Programme Sponsor
source,SbD,class,https://example.org/mod-sbd#ProtectData,Protect Data
source,SbD,class,https://example.org/mod-sbd#ProtectionControlSecurityPractice,Protection and Control Security Practice
source,SbD,class,https://example.org/mod-sbd#Recover,Recover
source,SbD,class,https://example.org/mod-sbd#Recoverability,Recoverability
source,SbD,class,https://example.org/mod-sbd#RecoveryPlan,Recovery Plan
source,SbD,class,https://example.org/mod-sbd#RecoveryPreparedness,Recovery Preparedness
source,SbD,class,https://example.org/mod-sbd#RecoverySupportService,Recovery Support Service
source,SbD,class,https://example.org/mod-sbd#Remediate,Remediate
source,SbD,class,https://example.org/mod-sbd#ReportingRecord,Reporting Record
source,SbD,class,https://example.org/mod-sbd#ResidualCyberRisk,Residual Cyber Risk
source,SbD,class,https://example.org/mod-sbd#Resilience,Resilience
source,SbD,class,https://example.org/mod-sbd#ResilienceMechanism,Resilience Mechanism
